Suburb,Post Code,Street Code,Area
Atlantis,7349,7349,Cape Town
Bloubergstrand,7441,7441,Cape Town
Darling,7345,7345,Cape Town
Mamre,7349,7349,Cape Town
Melkbosstrand,7441,7441,Cape Town
Milnerton,7435,7441,Cape Town
Montague Gardens,7441,7441,Cape Town
Parklands,7441,7441,Cape Town
Table View,7439,7441,Cape Town
West Beach,7441,7441,Cape Town
Bergvliet,7864,7945,Cape Town
Bishopscourt,,7708,Cape Town
Claremont,7735,7708,Cape Town
Constantia,7848,7806,Cape Town
Diep River,7800,7945,Cape Town
Harfield Village,,7708,Cape Town
Heathfield,,7945,Cape Town
Kenilworth,7745,7708,Cape Town
Kenwyn,,7780,Cape Town
Kirstenhof,,7945,Cape Town
Kreupelbosch,,7806,Cape Town
Lansdowne,7779,7780,Cape Town
Meadowridge,,7806,Cape Town
Mowbray,7705,7700,Cape Town
Ndabeni,,7405,Cape Town
Newlands,7725,7700,Cape Town
Observatory,7935,7925,Cape Town
Pinelands,7430,7405,Cape Town
Plumstead,7801,7800,Cape Town
Retreat,7965,7945,Cape Town
Rondebosch,7701,7700,Cape Town
Rondebosch East,,7780,Cape Town
Rosebank,,7700,Cape Town
SouthField,,7880,Cape Town
Steenberg,,7945,Cape Town
Tokai,7966,7945,Cape Town
Wynberg,7824,7800,Cape Town
Capri Village,,7975,Cape Town
Clovelly,,7975,Cape Town
Fish Hoek,7974,7975,Cape Town
Glencairn,,7975,Cape Town
Kalk Bay,7990,7975,Cape Town
Kommetjie,7976,7975,Cape Town
Lakeside,7946,7945,Cape Town
Marina da Gama,,7945,Cape Town
Masiphumelele,,7975,Cape Town
Muizenberg,7950,7945,Cape Town
Noordhoek,7979,,Cape Town
Ocean View,,7975,Cape Town
Scarborough,7975,,Cape Town
Simon's Town,7995,7975,Cape Town
St James,7946,7945,Cape Town
Sunnydale,,7975,Cape Town
Sun Valley,7985,7975,Cape Town
Belhar,,7493,Cape Town
Bellville,,7530,Cape Town
Brackenfell,,7560,Cape Town
Bothasig,,7441,Cape Town
Brooklyn,7420,7405,Cape Town
Durbanville,7551,7550,Cape Town
Edgemead,,7441,Cape Town
Elsie's River,,7490,Cape Town
Goodwood,7459,7460,Cape Town
Kensington,,7405,Cape Town
Kraaifontein,7572,7570,Cape Town
Kuils River,7580,7579,Cape Town
Loevenstein,,7530,Cape Town
Maitland,7404,7405,Cape Town
Milnerton,7404,7605,Cape Town
Monte Vista,7463,7460,Cape Town
Panorama,7506,7500,Cape Town
Parow,7499,7500,Cape Town
Plattekloof,,7500,Cape Town
Rugby,,7405,Cape Town
Thornton,7485,7460,Cape Town
Bo-Kaap,,8001,Cape Town
Devil's Peak Estate,,8001,Cape Town
De Waterkant,,8001,Cape Town
Foreshore,,8001,Cape Town
Gardens,,8001,Cape Town
Higgovale,,8001,Cape Town
Lower Vrede,,8001,Cape Town
Oranjezicht,,8001,Cape Town
Salt River,,7925,Cape Town
Schotsche Kloof,,8001,Cape Town
Tamboerskloof,,8001,Cape Town
University Estate,,8001,Cape Town
Vredehoek,,8001,Cape Town
Walmer Estate,,7925,Cape Town
Woodstock,,7925,Cape Town
Zonnebloem,,7925,Cape Town
Bakoven,,8005,Cape Town
Bantry Bay,,8005,Cape Town
Camps Bay,8040,8005,Cape Town
Clifton,,8005,Cape Town
Fresnaye,,8005,Cape Town
Green Point,8051,8005,Cape Town
Hout Bay,7872,7806,Cape Town
Imizamo Yethu,,7806,Cape Town
Llandudno,,7806,Cape Town
Mouille Point,,8005,Cape Town
Sea Point,8060,8005,Cape Town
Three Anchor Bay,,8005,Cape Town
Athlone,7760,7764,Cape Town
Bishop Lavis,7490,7490,Cape Town
Bonteheuwel,,7764,Cape Town
Crawford,7770,7780,Cape Town
Crossroads,,7755,Cape Town
Delft,,7100,Cape Town
Electric City,,,Cape Town
Elsie's River,,7490,Cape Town
Epping,,7460,Cape Town
Grassy Park,7888,7941,Cape Town
Gugulethu,,7750,Cape Town
Hanover Park,,7780,Cape Town
Kalksteenfontein,,7490,Cape Town
Khayelitsha,7783,7784,Cape Town
Langa,7456,7455,Cape Town
Lavender Hill,,7945,Cape Town
Lotus River,7805,7941,Cape Town
Macassar,7134,7130,Cape Town
Manenberg,,,Cape Town
Mitchells Plain,7789,7785,Cape Town
Nyanga,7755,7750,Cape Town
Ottery,7808,7800,Cape Town
Pelican Park,7941,,Cape Town
Philippi,,7750,Cape Town
Samora Machel,,7785,Cape Town
Strandfontein,,7798,Cape Town
Valhalla Park,,7490,Cape Town
